date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-12-17,66839189.3924,5877.0,4973110000.0,297.61,120807000.0,1774.99999992,1.56894457,
2017-12-18,110896789.73,6117.0,5013620000.0,300.0,313797000.0,1837.49999989,1.83484248,
2017-12-19,76190609.6825,6659.0,5345270000.0,319.81,413363000.0,1924.99999999,1.53137232,
2017-12-20,151621749.968,9382.0,5923720000.0,354.38,983169000.0,1874.99999993,2.27443327,
2017-12-21,126852855.092,7009.0,7518780000.0,449.75,352178000.0,1924.99999992,1.50092579,
2017-12-22,105966978.892,4881.0,6962700000.0,416.44,313313000.0,1712.49999995,1.1429871,
2017-12-23,33035417.6538,4557.0,5162850000.0,308.76,217778000.0,1862.49999997,0.84882892,
2017-12-24,38402915.7745,3443.0,5594770000.0,334.55,144898000.0,1924.99999993,0.651791630002,
2017-12-25,45792115.5458,3659.0,5142770000.0,307.49,104619000.0,1899.99999993,0.82478433,
2017-12-26,44489195.8023,3782.0,5115710000.0,305.83,110025000.0,1812.49999999,0.729221489992,
2017-12-27,24551765.6978,4690.0,5145590000.0,307.59,135077000.0,1837.49999999,0.858720619999,
2017-12-28,31042904.7718,4054.0,5333490000.0,318.78,134169000.0,1937.49999996,0.74959362,
2017-12-29,30500872.4694,4268.0,4781710000.0,285.77,114615000.0,1887.49999997,0.575671600007,
2017-12-30,38916587.6369,3911.0,4704380000.0,281.12,96001300.0,1824.99999997,0.621601399996,
2017-12-31,20897502.7232,3364.0,4186100000.0,250.12,78952100.0,1762.49999998,0.408964829998,
2018-01-01,42951150.9061,3395.0,4379180000.0,261.63,143836000.0,1849.99999995,0.629647330002,
2018-01-02,47638608.0123,4094.0,4610460000.0,275.42,117571000.0,1862.49999995,0.933820059998,
2018-01-03,52507778.7486,4583.0,4622800000.0,276.12,106643000.0,1774.99999999,0.933115280001,
2018-01-04,48970527.2975,4702.0,4561520000.0,272.43,136988000.0,1924.99999999,0.920138850002,
2018-01-05,56313165.2997,4049.0,4598030000.0,274.58,175165000.0,1737.49999998,0.85264457,
2018-01-06,46705956.5836,4196.0,4646530000.0,277.45,172099000.0,1899.99999996,0.581422920001,
2018-01-07,253091038.512,4139.0,5018030000.0,299.6,203684000.0,1762.49999996,0.716031240048,
2018-01-08,162691846.576,3921.0,5063530000.0,302.28,164036000.0,2187.49999998,0.623702489998,
2018-01-09,155570920.345,3887.0,4005020000.0,239.06,152475000.0,1824.99999998,0.642167319997,
2018-01-10,84851415.8511,3503.0,4035920000.0,240.88,131618000.0,1937.49999993,0.485965609996,
2018-01-11,36069892.7832,3523.0,4066710000.0,242.69,122452000.0,1924.99999996,0.483968869999,
2018-01-12,36012269.3234,3153.0,3546910000.0,211.64,113420000.0,1812.49999998,0.450919999999,
2018-01-13,184611747.902,6830.0,3694430000.0,220.42,1160490000.0,2199.99999997,1.49590562,
2018-01-14,121297712.745,5876.0,5683570000.0,339.06,851848000.0,1987.46670759,1.35414985,
2018-01-15,53719307.8965,4673.0,4633360000.0,276.37,1689000000.0,1862.49999996,0.84783923,
2018-01-16,41445761.0764,3864.0,4465810000.0,266.35,439330000.0,1824.99999997,0.577879540003,
2018-01-17,26968951.9114,3167.0,3184020000.0,189.88,347983000.0,1937.49999997,0.491323260002,
2018-01-18,21654278.9886,3043.0,3132570000.0,186.79,248325000.0,1937.49999996,0.78271656,
2018-01-19,38589411.8372,4791.0,3239170000.0,193.12,667274000.0,1774.99999994,1.42429814,
2018-01-20,19638130.5118,4363.0,3676260000.0,219.16,288869000.0,1987.49999998,0.831491770001,
2018-01-21,16457633.524,3631.0,3869280000.0,230.64,182217000.0,2012.49999994,0.49332687,
