date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-10-18,897.163827285,366.0,326340.0,2.6e-05,1732.0,3709680.0,52.0803940012,
2016-10-19,466.339991453,472.0,326423.0,2.6e-05,315.0,3856320.0,96.3332410011,
2016-10-20,542.104734918,416.0,321583.0,2.5e-05,1096.0,3561480.0,59.7708460007,
2016-10-21,130.501923546,441.0,304412.0,2.4e-05,1292.0,3822000.0,60.4678290001,
2016-10-22,247.975695625,381.0,325129.0,2.5e-05,464.0,3765840.0,61.0690469995,
2016-10-23,1038.50146503,395.0,342688.0,2.7e-05,1092.0,3676920.0,56.026462006,
2016-10-24,203.372462551,378.0,336279.0,2.6e-05,971.0,3853200.0,52.5707939999,
2016-10-25,122.679023428,362.0,334554.0,2.6e-05,2629.0,3776760.0,3455.242495,
2016-10-26,390.197266419,411.0,336513.0,2.6e-05,462.0,3836040.0,56.4051379997,
2016-10-27,25227.5698609,442.0,283797.0,2.2e-05,2596.0,3942120.0,68.5757691381,
2016-10-28,195.024190836,395.0,265208.0,2.1e-05,339.0,3873480.0,54.6219350005,
2016-10-29,883.399599083,392.0,264690.0,2.1e-05,460.0,3923400.0,63.4479299989,
2016-10-30,1619.53955173,419.0,293725.0,2.3e-05,602.0,3811080.0,62.6369200058,
2016-10-31,306.503689094,525.0,269378.0,2.1e-05,653.0,4024800.0,69.056281,
2016-11-01,418.069203736,570.0,322376.0,2.5e-05,178.0,3909360.0,4789.66862,
2016-11-02,636.554014635,503.0,280098.0,2.2e-05,497.0,3413280.0,63.8540649999,
2016-11-03,340.962489228,444.0,333834.0,2.6e-05,473.0,3642600.0,5800.995881,
2016-11-04,194.423003693,387.0,265306.0,2.1e-05,154.0,3845400.0,57.0732590001,
2016-11-05,309.783882167,487.0,271187.0,2.1e-05,289.0,3814200.0,5937.566389,
2016-11-06,390.182873242,538.0,270073.0,2.1e-05,1445.0,3737760.0,70.8872120002,
2016-11-07,1465.31167889,487.0,363832.0,2.8e-05,337.0,3520920.0,68.7337150005,
